[DEBUG] Client Build Path: C:\connection scoreboard\client\dist
Server running on http://localhost:5000
[DEBUG] Request: GET /
[DEBUG] Request: GET /
[DEBUG] Request: GET /
[DEBUG] Request: GET /assets/index-CsPoGsfU.js
[DEBUG] Request: GET /assets/index-CSwwOUrE.css
[DEBUG] Request: GET /assets/index-CSwwOUrE.css
[DEBUG] Request: GET /assets/index-CsPoGsfU.js
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /vite.svg
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /vite.svg
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /login
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: PUT /teams/1771308787063
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /reset
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /login
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: PUT /teams/1771308960546
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /
[DEBUG] Request: GET /assets/index-CSwwOUrE.css
[DEBUG] Request: GET /assets/index-CsPoGsfU.js
[DEBUG] Request: GET /vite.svg
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /
[DEBUG] Request: GET /assets/index-CsPoGsfU.js
[DEBUG] Request: GET /assets/index-CSwwOUrE.css
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /vite.svg
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: POST /login
[DEBUG] Request: GET /teams
[DEBUG] Request: PUT /teams/1771309191837
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: PUT /teams/1771309191837
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
[DEBUG] Request: GET /teams
